date,ticker,exchange,simple_return,band,tolerance,excess
2025-10-20,TPB,HOSE,-0.09113921264120273,0.07,0.005,0.02113921264120272
2025-10-20,CTG,HOSE,-0.09107800527421894,0.07,0.005,0.021078005274218936
2018-01-25,SSI,HOSE,0.08923072532631293,0.07,0.005,0.019230725326312925
2025-08-25,TPB,HOSE,-0.08843536086309522,0.07,0.005,0.018435360863095218
2021-10-07,VPB,HOSE,0.08825772849323266,0.07,0.005,0.01825772849323265
2020-05-04,SAB,HOSE,-0.08823522821763508,0.07,0.005,0.01823522821763507
2019-12-06,HDB,HOSE,0.08806267658635814,0.07,0.005,0.01806267658635813
2018-10-03,GVR,UPCOM,0.16775032509752918,0.15,0.005,0.01775032509752919
2025-12-26,VIC,HOSE,-0.08716136631330973,0.07,0.005,0.017161366313309723
2018-01-25,VPB,HOSE,0.0871369736843679,0.07,0.005,0.017136973684367895
2025-10-20,VIC,HOSE,-0.08540591271703424,0.07,0.005,0.015405912717034231
2025-11-03,HDB,HOSE,-0.08532937253832784,0.07,0.005,0.015329372538327835
2020-06-10,STB,HOSE,0.08490566037735858,0.07,0.005,0.014905660377358576
2025-10-20,SSB,HOSE,-0.0842105158829467,0.07,0.005,0.014210515882946695
2025-10-27,VRE,HOSE,-0.0837562974958872,0.07,0.005,0.013756297495887193
2021-02-17,HDB,HOSE,0.08315574620673294,0.07,0.005,0.013155746206732932
2025-08-25,STB,HOSE,-0.08304498269896199,0.07,0.005,0.013044982698961982
2021-07-09,PLX,HOSE,-0.08303252569474007,0.07,0.005,0.01303252569474006
2021-10-28,MSN,HOSE,0.08279802889678467,0.07,0.005,0.012798028896784663
2025-10-20,TCB,HOSE,-0.08242424429939588,0.07,0.005,0.01242424429939587
2025-10-20,SSI,HOSE,-0.08222490931076176,0.07,0.005,0.012224909310761756
2025-07-21,VIC,HOSE,-0.08196721311475408,0.07,0.005,0.011967213114754072
2018-01-25,VRE,HOSE,-0.08196719053219392,0.07,0.005,0.011967190532193916
2021-07-19,SSI,HOSE,-0.08193673591071482,0.07,0.005,0.011936735910714813
2021-07-19,SSB,HOSE,-0.08188587648431322,0.07,0.005,0.011885876484313218
2025-10-20,BID,HOSE,-0.08176107693826351,0.07,0.005,0.011761076938263504
2017-08-30,VIC,HOSE,0.08131867823651273,0.07,0.005,0.011318678236512725
2025-11-03,STB,HOSE,-0.08084358523725832,0.07,0.005,0.010843585237258313
2021-02-17,CTG,HOSE,0.0807635317439952,0.07,0.005,0.010763531743995192
2025-10-13,VHM,HOSE,0.0799999858904683,0.07,0.005,0.0099999858904683
2025-12-19,VJC,HOSE,0.07995685102465089,0.07,0.005,0.009956851024650881
2021-07-13,CTG,HOSE,-0.07978727384662632,0.07,0.005,0.00978727384662631
2021-02-17,MBB,HOSE,0.07949789506809446,0.07,0.005,0.009497895068094453
2025-06-09,VHM,HOSE,-0.0794270334029803,0.07,0.005,0.00942703340298029
2025-05-26,VHM,HOSE,0.07929514998649023,0.07,0.005,0.009295149986490225
