date,Open,High,Low,Close,Adj Close,Volume
2022-07-14,7850.0,8070.0,7770.0,7770.0,7770.0,11649800
2022-07-15,7840.0,8150.0,7770.0,7840.0,7840.0,12997800
2022-07-18,7880.0,7960.0,7700.0,7700.0,7700.0,15924100
2022-07-19,7720.0,7840.0,7600.0,7770.0,7770.0,9304100
2022-07-20,7880.0,8039.999999999999,7840.0,7910.0,7910.0,17291700
2022-07-21,7850.0,7990.0,7810.0,7840.0,7840.0,11236500
2022-07-22,7850.0,7990.0,7680.0,7680.0,7680.0,14386200
2022-07-25,7680.0,7720.0,7510.0,7550.0,7550.0,8551900
2022-07-26,7600.0,7640.0,7530.0,7530.0,7530.0,6259700
2022-07-27,7510.0,7720.0,7510.0,7640.0,7640.0,6067200
2022-07-28,7810.0,7930.0,7760.0,7850.0,7850.0,15772000
2022-07-29,7930.0,7960.0,7810.0,7840.0,7840.0,11215900
2022-08-01,7880.0,8090.0,7840.0,8039.999999999999,8039.999999999999,21057000
2022-08-02,8070.0,8250.0,8000.0,8130.000000000001,8130.000000000001,12558500
2022-08-03,8039.999999999999,8250.0,8000.0,8150.0,8150.0,15289900
2022-08-04,8290.0,8340.0,8090.0,8130.000000000001,8130.000000000001,15277400
2022-08-05,8070.0,8150.0,7990.0,8090.0,8090.0,12959500
2022-08-08,8130.000000000001,8230.0,8039.999999999999,8090.0,8090.0,11527500
2022-08-09,8150.0,8170.0,8039.999999999999,8130.000000000001,8130.000000000001,14138700
2022-08-10,8090.0,8130.000000000001,8000.0,8000.0,8000.0,8625200
2022-08-11,8090.0,8130.000000000001,7880.0,7910.0,7910.0,13812200
2022-08-12,7880.0,7990.0,7850.0,7960.0,7960.0,7233900
2022-08-15,7990.0,8510.0,7960.0,8510.0,8510.0,46250900
2022-08-16,8550.0,8670.0,8420.0,8450.0,8450.0,12612400
2022-08-17,8450.0,8530.0,8340.0,8340.0,8340.0,12712500
2022-08-18,8290.0,8420.0,8250.0,8290.0,8290.0,13770400
2022-08-19,8290.0,8370.0,8230.0,8250.0,8250.0,10229100
2022-08-22,8230.0,8390.0,8170.0,8310.0,8310.0,11640000
2022-08-23,8250.0,8420.0,8230.0,8390.0,8390.0,10067700
2022-08-24,8390.0,8470.0,8370.0,8370.0,8370.0,13081600
2022-08-25,8420.0,8530.0,8370.0,8530.0,8530.0,14522100
2022-08-26,8580.0,8630.0,8370.0,8390.0,8390.0,13321900
2022-08-29,8200.0,8310.0,8070.0,8250.0,8250.0,19244800
2022-08-30,8310.0,8420.0,8230.0,8230.0,8230.0,7713600
2022-08-31,8200.0,8340.0,8200.0,8340.0,8340.0,9715900
2022-09-05,8340.0,8340.0,8250.0,8250.0,8250.0,5291800
2022-09-06,8290.0,8390.0,8230.0,8290.0,8290.0,9125500
2022-09-07,8310.0,8310.0,7840.0,7840.0,7840.0,17594300
2022-09-08,7910.0,7960.0,7470.0,7470.0,7470.0,15133300
2022-09-09,7620.0,7640.0,7440.0,7640.0,7640.0,8023800
2022-09-12,7700.0,7770.0,7620.0,7620.0,7620.0,5490400
2022-09-13,7620.0,7700.0,7600.0,7700.0,7700.0,6135800
2022-09-14,7470.0,7620.0,7470.0,7550.0,7550.0,8398700
2022-09-15,7620.0,7640.0,7530.0,7530.0,7530.0,5055400
2022-09-16,7530.0,7600.0,7270.0,7310.0,7310.0,8206300
2022-09-19,7310.0,7370.0,6950.0,6950.0,6950.0,11693800
2022-09-20,7080.0,7190.0,6950.0,7160.0,7160.0,7566200
2022-09-21,7120.0,7160.0,7060.0,7120.0,7120.0,4196900
2022-09-22,7000.0,7190.0,7000.0,7140.0,7140.0,6574500
2022-09-23,7140.0,7190.0,7000.0,7000.0,7000.0,6004000
2022-09-26,6900.0,6900.0,6550.0,6620.0,6620.0,12156200
2022-09-27,6650.0,6860.0,6600.0,6810.0,6810.0,7972000
2022-09-28,6740.0,6840.0,6620.0,6680.0,6680.0,5241200
2022-09-29,6790.0,6840.0,6620.0,6620.0,6620.0,5441100
2022-09-30,6650.0,6710.0,6500.0,6650.0,6650.0,6963700
2022-10-03,6650.0,6710.0,6360.0,6360.0,6360.0,8923400
2022-10-04,6520.0,6520.0,6140.0,6140.0,6140.0,6492400
2022-10-05,6260.0,6360.0,6230.0,6260.0,6260.0,6745700
2022-10-06,6280.0,6310.0,5850.0,5870.0,5870.0,6647600
2022-10-07,5640.0,5770.0,5500.0,5540.0,5540.0,15297700
2022-10-10,5380.0,5560.0,5190.0,5400.0,5400.0,12949100
2022-10-11,5290.0,5380.0,5020.0,5020.0,5020.0,14325600
2022-10-12,4900.0,5380.0,4900.0,5380.0,5380.0,19543100
2022-10-13,5450.0,5590.0,5400.0,5500.0,5500.0,10303200
2022-10-14,5690.0,5870.0,5660.0,5870.0,5870.0,14546300
2022-10-17,5870.0,6200.0,5800.0,6140.0,6140.0,14331500
2022-10-18,6310.0,6360.0,5980.0,6010.0,6010.0,9331000
2022-10-19,6110.0,6110.0,5900.0,5950.0,5950.0,6804900
2022-10-20,5900.0,6010.0,5800.0,5800.0,5800.0,7302300
2022-10-21,5820.0,5920.0,5420.0,5470.0,5470.0,12312500
2022-10-24,5560.0,5720.0,5260.0,5290.0,5290.0,11779800
