instance_id,track_target,status_target,polished_best_true_objective_target,polished_best_feasible_target,j_no_action_target,improvement_scale_target,target_regime_target,final_target,track_baseline,status_baseline,polished_best_true_objective_baseline,polished_best_feasible_baseline,j_no_action_baseline,improvement_scale_baseline,target_regime_baseline,final_baseline,uplift,uplift_normalized,comparison,target
c29_normal_20240321_diversified,qaoa,OK,1.1537487931548769,True,1.5433272426998297,0.3895784495449528,normal,1.1537487931548769,random_uniform,OK,1.1705516683924255,True,1.5433272426998297,0.3895784495449528,normal,1.1705516683924255,0.016802875237548642,0.04313091562732806,qaoa_vs_random_uniform,qaoa
c01_normal_20240222_banking_concentrated,qaoa,OK,1.211222690888393,True,1.705472386378514,0.494249695490121,normal,1.211222690888393,random_stratified,OK,1.2124069827961437,True,1.705472386378514,0.494249695490121,normal,1.2124069827961437,0.001184291907750712,0.0023961408950921317,qaoa_vs_random_stratified,qaoa
c02_volatile_20240102_high_volatility,qaoa,OK,1.3288236703132834,True,1.8490127913929046,0.5201891210796212,volatile,1.3288236703132834,random_stratified,OK,1.345331971601627,True,1.8490127913929046,0.5201891210796212,volatile,1.345331971601627,0.016508301288343574,0.0317351913359541,qaoa_vs_random_stratified,qaoa
c03_stress_20250408_high_cash,qaoa,OK,0.8659936772869996,True,1.1453970398815865,0.27940336259458687,stress,0.8659936772869996,random_stratified,OK,0.8773433689393618,True,1.1453970398815865,0.27940336259458687,stress,0.8773433689393618,0.011349691652362215,0.04062117057921945,qaoa_vs_random_stratified,qaoa
c04_normal_20240321_do_not_sell,qaoa,OK,1.1947637678328034,True,1.3162001595726194,0.12143639173981602,normal,1.1947637678328034,random_stratified,OK,1.1987013240280655,True,1.3162001595726194,0.12143639173981602,normal,1.1987013240280655,0.0039375561952621485,0.0324248451296097,qaoa_vs_random_stratified,qaoa
c05_volatile_20240415_liquidity_constrained,qaoa,OK,1.2591453019578216,True,1.3960039170998229,0.13685861514200126,volatile,1.2591453019578216,random_stratified,OK,1.2639960323438413,True,1.3960039170998229,0.13685861514200126,volatile,1.2639960323438413,0.004850730386019686,0.03544336891752618,qaoa_vs_random_stratified,qaoa
c06_stress_20250509_diversified,qaoa,OK,0.9907752819218852,True,1.3648950661997814,0.37411978427789616,stress,0.9907752819218852,random_stratified,OK,1.0054531105705165,True,1.3648950661997814,0.37411978427789616,stress,1.0054531105705165,0.014677828648631208,0.039232965658208864,qaoa_vs_random_stratified,qaoa
c07_normal_20250311_banking_concentrated,qaoa,OK,1.1715554339130745,True,1.6544631316383933,0.48290769772531905,normal,1.1715554339130745,random_stratified,OK,1.1722090900546744,True,1.6544631316383933,0.48290769772531905,normal,1.1722090900546744,0.0006536561415999564,0.0013535840175646987,qaoa_vs_random_stratified,qaoa
c09_stress_20250408_do_not_sell,qaoa,OK,1.0331563393410574,True,1.1382224729774164,0.10506613363635897,stress,1.0331563393410574,random_stratified,OK,1.0364098636640855,True,1.1382224729774164,0.10506613363635897,stress,1.0364098636640855,0.0032535243230280564,0.03096644190114319,qaoa_vs_random_stratified,qaoa
c10_normal_20250708_do_not_sell,qaoa,OK,1.4561127542633252,True,1.6275326866931152,0.17141993242979003,normal,1.4561127542633252,random_stratified,OK,1.4613671550039555,True,1.6275326866931152,0.17141993242979003,normal,1.4613671550039555,0.005254400740630327,0.030652215679658014,qaoa_vs_random_stratified,qaoa
